ind,origin,destination,flow
263,p09,k10,14.0
264,f06,f22,3963.0
265,b00,u07,5.0
266,v04,v00,13.0
267,f20,g02,135.0
268,u15,h10,300.0
269,p04,p07,6.0
270,r01,g09,263.0
271,b09,b07,20.0
272,u05,u06,21.0
273,r06,r16,284.0
274,s09,p25,5.0
275,e13,i06,12.0
276,a03,h03,30.0
277,g01,f01,1202.0
278,n00,m20,102.0
279,h06,u00,27.0
280,u23,u14,496.0
281,p23,p10,4.0
282,k04,k16,46.0
283,f00,l06,5.0
284,r29,r18,36.0
285,i14,i15,165.0
286,h05,h00,5959.0
287,p15,p13,10.0
288,m17,m12,6.0
289,u01,u13,206.0
290,n07,m20,227.0
291,p09,p18,166.0
292,t03,i05,399.0
293,p23,p00,3.0
294,t06,p18,23.0
295,f00,f20,819.0
296,h00,u17,1084.0
297,r02,r03,10.0
298,u19,a01,102.0
299,e12,i20,28.0
300,v11,a10,9.0
301,t04,i10,1498.0
302,m10,m10,12976.0
303,m28,n11,12.0
304,f04,f13,44.0
305,a06,a00,76.0
306,g00,f20,1257.0
307,p12,p16,2.0
308,g02,g02,82817.0
309,m12,m29,145.0
310,s11,s03,114.0
311,q00,u23,51.0
312,p24,p05,10.0
313,a10,u01,94.0
314,v00,a11,129.0
315,e05,e03,21.0
316,m10,m25,10.0
317,m25,m11,25.0
318,f03,f04,249.0
319,t02,i05,578.0
320,o07,c04,2.0
321,k11,n12,8.0
322,m21,n08,1.0
323,f12,f11,342.0
324,h02,u02,281.0
325,v02,e04,59.0
326,f12,f05,2.0
327,k05,p04,1.0
328,p15,k17,5.0
329,d01,k04,85.0
330,m02,n00,1.0
331,t04,t01,1265.0
332,r13,r27,56.0
333,n06,n04,297.0
334,i05,i01,300.0
335,e05,i13,52.0
336,r19,r01,14.0
337,a07,a07,105710.0
338,r24,f00,2.0
339,e15,e17,4.0
340,e16,j02,593.0
341,n08,k09,3.0
342,u07,u13,87.0
343,p18,p00,11.0
344,t00,i09,137.0
345,q06,q04,193.0
346,u27,u09,17.0
347,t03,p07,29.0
348,i15,i15,135193.0
