ind,origin,destination,flow
114,雲林縣二崙鄉,彰化縣秀水鄉,3.0
115,高雄縣六龜鄉,屏東縣里港鄉,5.0
116,屏東縣瑪家鄉,屏東縣潮州鎮,26.0
117,南投縣名間鄉,彰化縣溪湖鎮,6.0
118,雲林縣崙背鄉,彰化縣二林鎮,8.0
119,屏東縣里港鄉,台南縣歸仁鄉,6.0
120,台北縣新店市,台北縣八里鄉,53.0
121,桃園縣楊梅鎮,新竹縣橫山鄉,5.0
122,台北縣平溪鄉,台北市中正區,20.0
123,台北縣萬里鄉,基隆市安樂區,428.0
124,台南縣將軍鄉,台南縣北門鄉,18.0
125,台中縣大里市,台中縣梧棲鎮,115.0
126,台中縣清水鎮,苗栗縣三義鄉,16.0
127,彰化縣社頭鄉,雲林縣莿桐鄉,5.0
128,屏東縣泰武鄉,屏東縣麟洛鄉,7.0
129,台中縣龍井鄉,台中縣大里市,363.0
130,台北縣三重市,基隆市中山區,54.0
131,彰化縣二水鄉,雲林縣虎尾鎮,36.0
132,彰化縣彰化市,彰化縣彰化市,195761.0
133,台北縣三芝鄉,台北縣中和市,52.0
134,高雄市旗津區,高雄市新興區,175.0
135,高雄縣旗山鎮,高雄縣美濃鎮,214.0
136,彰化縣二水鄉,彰化縣社頭鄉,90.0
137,台南市中區,高雄縣湖內鄉,99.0
138,台北縣平溪鄉,台北市大安區,28.0
139,高雄縣大寮鄉,屏東縣屏東市,504.0
140,台中縣梧棲鎮,台中市北屯區,179.0
141,台南縣新營市,台南縣西港鄉,13.0
142,桃園縣蘆竹鄉,台北縣新莊市,292.0
143,台南縣新化鎮,台南縣柳營鄉,107.0
144,台北市北投區,台北市士林區,11628.0
145,高雄市新興區,高雄縣大寮鄉,294.0
146,台南縣北門鄉,台南縣善化鎮,9.0
147,高雄市旗津區,高雄縣彌陀鄉,1.0
148,彰化縣溪州鄉,南投縣竹山鎮,15.0
149,屏東縣潮州鎮,屏東縣麟洛鄉,200.0
150,屏東縣萬巒鄉,屏東縣新園鄉,15.0
151,高雄縣燕巢鄉,高雄市三民區,573.0
